Date,Open,High,Low,Close,Volume,Adj Close
2009-02-11,26.0,27.07,25.9,26.43,21745900,23.696753
2009-02-12,26.360001,27.190001000000002,26.0,27.16,3970800,24.351259
2009-02-13,26.77,27.190001000000002,26.67,26.809998999999998,1064800,24.037454
2009-02-17,26.440001000000002,27.629998999999998,26.299999,27.26,1264600,24.440918
2009-02-18,27.629998999999998,28.219998999999998,27.200001,27.950001,1465800,25.059563
2009-02-19,27.91,28.98,27.879998999999998,28.559998999999998,1156200,25.606479
2009-02-20,28.43,29.629998999999998,27.870001000000002,29.629998999999998,1547800,26.565825
2009-02-23,29.66,29.85,27.27,27.299999,1100500,24.476781
2009-02-24,27.41,28.0,27.059998999999998,27.49,911300,24.647133
2009-02-25,27.82,28.35,26.85,27.92,985000,25.032664999999998
2009-02-26,28.27,28.299999,27.0,27.559998999999998,601600,24.709893
2009-02-27,27.35,27.85,27.02,27.59,457000,24.736791
2009-03-02,27.6,27.84,26.860001,27.0,585300,24.207806
2009-03-03,27.26,27.299999,26.0,26.440001000000002,750100,23.705719000000002
2009-03-04,26.969998999999998,27.450001,26.719998999999998,27.0,544600,24.207806
2009-03-05,27.0,27.190001000000002,26.610001,27.030001000000002,910600,24.234704
2009-03-06,26.9,27.18,26.25,26.440001000000002,526200,23.705719000000002
2009-03-09,26.25,27.1,26.120001000000002,26.360001,166500,23.633992000000003
2009-03-10,26.370001000000002,27.129998999999998,26.299999,26.459999,251600,23.723648999999998
2009-03-11,26.25,26.98,26.16,26.58,812200,23.83124
2009-03-12,26.360001,28.02,26.35,27.98,1003600,25.086459
2009-03-13,28.25,28.33,27.34,27.42,430200,24.584372000000002
2009-03-16,27.700001,27.700001,26.209999,26.32,437400,23.598128
2009-03-17,26.299999,27.6,26.25,27.540001,336800,24.691963
2009-03-18,27.15,27.75,27.02,27.58,333700,24.727825
2009-03-19,27.4,27.76,27.110001,27.42,326700,24.584372000000002
2009-03-20,27.57,28.379998999999998,27.129998999999998,27.67,442200,24.808518
2009-03-23,27.77,27.969998999999998,26.5,27.370001000000002,623400,24.539543
2009-03-24,26.959999,27.5,26.51,27.1,742300,24.297465
2009-03-25,26.99,28.0,26.76,27.280001000000002,557200,24.45885
2009-03-26,27.26,27.700001,26.75,27.549999,462300,24.700927
2009-03-27,27.25,27.75,27.15,27.530001000000002,332000,24.682997
2009-03-30,26.91,28.0,26.709999,27.280001000000002,516600,24.45885
2009-03-31,27.73,28.98,27.549999,28.870001000000002,3027700,25.884421
2009-04-01,28.860001,28.860001,27.690001000000002,27.879998999999998,760500,24.9968
2009-04-02,28.379998999999998,28.43,27.08,27.35,517400,24.521611
2009-04-03,27.48,27.58,27.059998999999998,27.35,370600,24.521611
2009-04-06,27.049999,28.08,26.809998999999998,28.049999,353200,25.14922
2009-04-07,27.549999,28.33,27.110001,27.15,664300,24.342292999999998
2009-04-08,27.57,27.57,26.84,26.9,378500,24.118147
2009-04-09,27.1,27.209999,26.26,26.6,789500,23.849172
2009-04-13,26.84,27.0,26.200001,26.48,394100,23.741581
2009-04-14,26.43,27.360001,26.15,26.5,377000,23.759513000000002
2009-04-15,26.74,26.84,26.0,26.610001,754400,23.858138
2009-04-16,26.65,27.32,26.459999,27.0,228800,24.207806
2009-04-17,27.139999,27.139999,26.360001,26.469998999999998,658400,23.732615
2009-04-20,26.379998999999998,26.379998999999998,25.719998999999998,26.219998999999998,354600,23.508469
2009-04-21,26.0,26.91,25.959999,26.360001,276400,23.633992000000003
2009-04-22,26.0,26.860001,25.98,26.610001,464400,23.858138
2009-04-23,26.940001000000002,27.059998999999998,26.200001,26.33,391000,23.607094
2009-04-24,26.870001000000002,26.870001000000002,26.040001,26.280001000000002,615300,23.562265
2009-04-27,26.0,26.860001,26.0,26.25,536700,23.535367
2009-04-28,27.620001000000002,29.540001,27.1,28.469998999999998,1585700,25.525786
2009-04-29,28.98,29.049999,27.75,28.959999,951000,25.965113
2009-04-30,28.809998999999998,29.299999,28.0,28.25,571100,25.328538
2009-05-01,28.290001,28.450001,27.75,28.360001,242800,25.427163
2009-05-04,28.799999,30.129998999999998,28.700001,30.129998999999998,384000,27.014117
2009-05-05,30.440001000000002,31.0,29.049999,30.799999,496500,27.614829999999998
2009-05-06,31.190001000000002,31.35,28.790001,29.75,906500,26.673415999999996
2009-05-07,29.98,30.049999,28.82,29.969998999999998,395100,26.870664
2009-05-08,30.059998999999998,30.76,29.48,30.76,490900,27.578967
2009-05-11,30.440001000000002,30.860001,29.74,29.950001,277000,26.852734
2009-05-12,29.74,30.110001,29.35,29.82,189000,26.736176
2009-05-13,29.9,29.959999,28.02,29.450001,593600,26.404441
2009-05-14,29.67,29.67,28.74,28.84,392600,25.857523
2009-05-15,29.24,29.24,28.799999,28.82,498900,25.839591
2009-05-18,28.799999,29.209999,28.700001,29.209999,162100,26.189259
2009-05-19,28.77,29.860001,28.52,29.42,342500,26.377543
2009-05-20,29.27,29.809998999999998,28.5,28.58,317000,25.624411
2009-05-21,28.1,29.780001000000002,27.700001,29.73,311600,26.655484
2009-05-22,29.41,29.879998999999998,29.290001,29.700001,97100,26.628587
2009-05-26,29.59,31.17,29.559998999999998,30.74,399300,27.561034999999997
2009-05-27,30.389999,31.200001,30.0,30.41,269100,27.265162
2009-05-28,30.74,31.0,30.23,30.42,500700,27.274128
2009-05-29,30.049999,31.16,29.780001000000002,31.16,921000,27.937601
2009-06-01,31.280001000000002,32.68,31.16,31.799999,488900,28.511415000000003
